iter	Passed	Remaining
744	1244	425
745	1246	424
746	1247	422
747	1249	420
748	1250	419
749	1252	417
750	1253	415
751	1255	413
752	1256	412
753	1257	410
754	1259	408
755	1260	406
756	1262	405
757	1264	403
758	1265	401
759	1267	400
760	1268	398
761	1270	396
762	1271	394
763	1273	393
764	1274	391
765	1275	389
766	1277	388
767	1279	386
768	1280	384
769	1282	383
770	1283	381
771	1284	379
772	1286	377
773	1287	376
774	1289	374
775	1290	372
776	1291	370
777	1293	369
778	1295	367
779	1296	365
780	1298	363
781	1299	362
782	1300	360
783	1302	358
784	1303	357
785	1305	355
786	1306	353
787	1308	352
788	1310	350
789	1311	348
790	1313	346
791	1314	345
792	1316	343
793	1317	341
794	1319	340
795	1320	338
796	1321	336
797	1323	335
798	1325	333
799	1326	331
800	1328	329
801	1329	328
802	1330	326
803	1332	324
804	1333	323
805	1335	321
806	1336	319
807	1338	318
808	1339	316
809	1341	314
810	1342	312
811	1344	311
812	1345	309
813	1347	307
814	1348	306
815	1350	304
816	1351	302
817	1353	301
818	1354	299
819	1356	297
820	1357	296
821	1359	294
822	1360	292
823	1362	290
824	1363	289
825	1365	287
826	1366	285
827	1368	284
828	1369	282
829	1371	280
830	1372	279
831	1374	277
832	1375	275
833	1376	274
834	1378	272
835	1379	270
836	1381	269
837	1383	267
838	1384	265
839	1386	264
840	1387	262
841	1389	260
842	1390	258
843	1391	257
844	1393	255
845	1394	253
846	1396	252
847	1398	250
848	1399	248
849	1401	247
850	1403	245
851	1404	244
852	1406	242
853	1407	240
854	1409	238
855	1410	237
856	1412	235
857	1413	234
858	1415	232
859	1416	230
860	1418	228
861	1419	227
862	1421	225
863	1423	224
864	1425	222
865	1426	220
866	1427	219
867	1429	217
868	1430	215
869	1432	214
870	1433	212
871	1435	210
872	1436	209
873	1438	207
874	1439	205
875	1441	204
876	1442	202
877	1444	200
878	1445	199
879	1447	197
880	1448	195
881	1450	194
882	1451	192
883	1453	190
884	1454	189
885	1456	187
886	1457	185
887	1459	184
888	1460	182
889	1462	180
890	1463	179
891	1465	177
892	1466	175
893	1468	174
894	1469	172
895	1471	170
896	1472	169
897	1474	167
898	1475	165
899	1477	164
900	1478	162
901	1480	160
902	1481	159
903	1483	157
904	1484	155
905	1486	154
906	1487	152
907	1489	150
908	1490	149
909	1492	147
910	1493	145
911	1495	144
912	1496	142
913	1498	140
914	1500	139
915	1502	137
916	1504	136
917	1505	134
918	1507	132
919	1508	131
920	1510	129
921	1511	127
922	1513	126
923	1515	124
924	1516	122
925	1518	121
926	1519	119
927	1521	118
928	1522	116
929	1524	114
930	1526	113
931	1527	111
932	1528	109
933	1530	108
934	1532	106
935	1533	104
936	1535	103
937	1537	101
938	1538	99
939	1540	98
940	1541	96
941	1543	95
942	1545	93
943	1546	91
944	1548	90
945	1549	88
946	1551	86
947	1553	85
948	1554	83
949	1556	81
950	1557	80
951	1561	78
952	1563	77
953	1565	75
954	1566	73
955	1568	72
956	1569	70
957	1571	68
958	1572	67
959	1574	65
960	1576	63
961	1577	62
962	1578	60
963	1580	59
964	1582	57
965	1583	55
966	1585	54
967	1586	52
968	1588	50
969	1589	49
970	1591	47
971	1593	45
972	1594	44
973	1596	42
974	1597	40
975	1599	39
976	1600	37
977	1602	36
978	1604	34
979	1605	32
980	1607	31
981	1608	29
982	1610	27
983	1611	26
984	1613	24
985	1614	22
986	1615	21
987	1617	19
988	1618	18
989	1620	16
990	1622	14
991	1623	13
992	1625	11
993	1626	9
994	1627	8
995	1629	6
996	1631	4
997	1632	3
998	1634	1
999	1635	0
